Gryoscope_X,Gryoscope_Y,Gryoscope_Z
-0.736931162,-0.730273263,1.273472889
-0.766101019,-0.790702777,0.983932419
-0.79685493,-0.737556176,0.726763232
-0.770496325,-0.693493919,0.527168317
-0.68427618,-0.704728739,0.393254204
-0.539364831,-0.694072621,0.229714288
-0.443872379,-0.635145919,-0.034517364
-0.380501406,-0.61297621,-0.381383972
-0.341025369,-0.715690868,-0.793691354
-0.293994473,-0.911399083,-1.155320661
-0.248317273,-1.077368872,-1.425111191
-0.231768654,-1.133387701,-1.643130796
-0.270185279,-1.074187772,-1.786654131
-0.320397066,-0.992877738,-1.895424025
-0.347135978,-0.969918089,-2.038068907
-0.367674814,-0.992904322,-2.204642908
-0.421272533,-1.007032173,-2.364191191
-0.471257137,-1.006186621,-2.50227751
-0.491717415,-1.014473336,-2.637569325
-0.506868677,-1.053232448,-2.773928778
-0.526044743,-1.073288457,-2.889650004
-0.574291901,-1.039354699,-2.945635216
-0.617613571,-0.953037338,-2.933141606
-0.673709052,-0.848640935,-2.895523446
-0.739043312,-0.754551427,-2.885432856
-0.814444857,-0.635446863,-2.904279845
-0.912590341,-0.478082018,-2.970176833
-1.052103178,-0.313589739,-3.054095404
-1.162565606,-0.229100423,-3.094571965
-1.186401384,-0.228152873,-3.054471867
-1.128841178,-0.20302649,-2.984563963
-1.07276346,-0.050200721,-2.863616125
-1.068465369,0.140938072,-2.672484295
-1.031367319,0.245561419,-2.38482322
-0.912224429,0.246749727,-2.030401604
-0.757150965,0.174692838,-1.577315586
-0.570411401,0.149719311,-1.066939967
-0.47661622,0.22094929,-0.541276948
-0.411825495,0.338594956,-0.071229042
-0.243690299,0.396285696,0.302246554
0.027225094,0.427439345,0.538128836
0.256665481,0.485647513,0.748224301
0.419221891,0.588536067,1.004961236
0.556695325,0.674634738,1.305015667
0.717906578,0.720857365,1.707856519
0.931390627,0.757223351,2.171508176
1.139491899,0.867132588,2.612412555
1.271166308,1.089225276,2.978627308
1.302643879,1.379796608,3.274597032
1.249496443,1.619909151,3.42016588
1.141872032,1.65418504,3.359256609
1.02761863,1.474925263,3.134378297
0.845714612,1.210779173,2.80022536
0.592624827,0.944517119,2.531870468
0.378493114,0.793606444,2.410141094
0.215958787,0.730301483,2.360396011
0.142468063,0.749061329,2.408909185
0.202121539,0.829154534,2.468637092
0.251377238,0.910933597,2.447095497
0.295719935,1.023491008,2.324378593
0.276286049,1.127975566,2.072562559
0.189540772,1.071289404,1.786115391
0.212401612,0.880359693,1.597969992
0.282086684,0.616312308,1.469504936
0.332237734,0.404712452,1.403060658
0.381640447,0.336022092,1.336291773
0.266899212,0.389247222,1.263449771
0.041217609,0.476734473,1.150547726
-0.137057321,0.52580641,0.979945107
-0.273347245,0.468018992,0.718625112
-0.353751289,0.334546698,0.387487127
-0.48155825,0.140117018,0.033728266
-0.626687722,-0.105945477,-0.304032193
-0.804827111,-0.374350296,-0.600591676
-0.97139986,-0.598868089,-0.847933309
-1.070553558,-0.758373873,-1.006214278
-1.111710565,-0.790887611,-1.094018714
-1.189562814,-0.730710285,-1.179378645
-1.315427558,-0.615786867,-1.300935643
-1.447296874,-0.539808767,-1.448893206
-1.548429148,-0.56300302,-1.594351308
-1.646101849,-0.642822223,-1.698157327
-1.713677184,-0.705359893,-1.76758434
-1.827762144,-0.682382421,-1.811030643
-1.933815973,-0.597312288,-1.869248407
-2.027802365,-0.537166672,-1.937750237
-2.048035996,-0.510471897,-2.019686835
-2.065548556,-0.495104687,-2.091155903
-2.171981709,-0.509163754,-2.176047699
-2.313715355,-0.545292513,-2.272020714
-2.451544897,-0.65783556,-2.326055663
-2.498583929,-0.809221582,-2.29330291
-2.399377243,-0.954747097,-2.1309606
-2.162381308,-1.044613855,-1.869292037
-1.750807183,-1.025589006,-1.594261782
-1.25305392,-0.857336419,-1.335184472
-0.75951262,-0.483108477,-1.140324967
-0.321468966,0.002082723,-1.011498229
0.090240544,0.499913825,-0.944028394
0.449293776,0.935890598,-0.855962472
0.801502688,1.175307496,-0.698065536
1.172120435,1.19015537,-0.467737244
1.492947204,1.053175194,-0.199492203
1.763647897,0.909783883,0.107175587
1.952857239,0.797916217,0.443884624
2.112977131,0.786413236,0.788806839
2.269078119,0.787867589,1.100991709
2.407910211,0.870260162,1.327980621
2.455565078,1.043065293,1.460366113
2.420446737,1.246911271,1.526785596
2.389827354,1.326241596,1.585359914
2.39078675,1.313629134,1.548478587
2.356548889,1.328827007,1.50536607
2.14695607,1.391320689,1.471403225
1.828225,1.363236292,1.460317118
1.534831507,1.240502699,1.499184592
1.313827498,1.06752394,1.551397665
1.139181717,0.913665159,1.597785218
1.006259306,0.854157133,1.568115456
0.86477433,0.825004561,1.429627044
0.709757073,0.809211476,1.264419181
0.504091008,0.773497982,1.155737503
0.239657728,0.669455989,1.119737966
-0.010332401,0.499532176,1.148691518
-0.185455741,0.288426591,1.172677262
-0.312514888,0.090559324,1.147932274
-0.452842193,-0.060016865,1.055485947
-0.452842193,-0.060016865,1.055485947
-0.939378815,-0.157251807,0.757658525
-1.222597139,-0.212456213,0.616581066
-1.222597139,-0.212456213,0.616581066
-1.64687814,-0.458227085,0.481515898
-1.821009176,-0.567786889,0.489014281
-1.956424611,-0.664223688,0.503706141
-2.034912245,-0.76214941,0.512728675
-2.070557015,-0.847367363,0.523152812
-2.07250561,-0.871548908,0.564781232
-2.124621289,-0.844049113,0.646917386
-2.19242944,-0.814063506,0.670239492
-2.236050742,-0.884118991,0.698335035
