Acceleration_X,Acceleration_Y,Acceleration_Z
-0.68651499,0.20171438,0.5338677
-0.846839087,0.199456079,0.514443262
-0.998541968,0.18987356,0.514183862
-1.162909644,0.16768728,0.548775537
-1.322699683,0.142433984,0.557228906
-1.442008154,0.097603662,0.513390405
-1.562293188,0.058953149,0.467064722
-1.665244238,-0.002204077,0.428139551
-1.754508154,-0.035330908,0.412163599
-1.879248755,-0.048697607,0.421547754
-1.985449927,-0.070624487,0.44150625
-2.081214087,-0.076743262,0.434670313
-2.176337378,-0.075263159,0.415245874
-2.233054297,-0.08003916,0.379799707
-2.267554419,-0.068350928,0.306481226
-2.287940161,-0.087241309,0.244088037
-2.304831641,-0.120261328,0.182991846
-2.340735571,-0.117743628,0.117882593
-2.373587744,-0.110007422,0.03336416
-2.378012793,-0.108832495,-0.061026709
-2.355124609,-0.119788306,-0.1536323
-2.336432593,-0.112082617,-0.264533179
-2.305808203,-0.11066355,-0.371985571
-2.25141062,-0.138434546,-0.448905127
-2.186545508,-0.153830664,-0.507468359
-2.123419897,-0.156561987,-0.548880713
-2.053519385,-0.15476145,-0.566641943
-1.963645117,-0.162039893,-0.568137305
-1.871924536,-0.16686167,-0.551734106
-1.778708594,-0.163291113,-0.538519995
-1.69307627,-0.167075293,-0.502982275
-1.605673926,-0.171012061,-0.456473486
-1.508429663,-0.18512644,-0.417533057
-1.427390234,-0.179618018,-0.352790015
-1.334937231,-0.168982642,-0.289115088
-1.236380713,-0.16686167,-0.219336646
-1.155158179,-0.147116797,-0.133978979
-1.057578223,-0.13762583,-0.067114966
-0.982230322,-0.130087988,0.01018606
-0.915869849,-0.125937598,0.073769434
-0.829840796,-0.133185522,0.118065698
-0.768942969,-0.120032446,0.163613184
-0.707190649,-0.093604224,0.188576563
-0.639456885,-0.109213965,0.213158472
-0.58432688,-0.088416235,0.240074976
-0.529975073,-0.080588477,0.247017725
-0.488471167,-0.073935645,0.270974023
-0.435111182,-0.056433813,0.266945703
-0.377402441,-0.052268164,0.279396875
-0.301764624,-0.046820776,0.277611597
-0.20088877,-0.058142798,0.266625269
-0.092597144,-0.070761816,0.252968652
0.052712305,-0.075812476,0.238442285
0.216805322,-0.057776587,0.222435815
0.413964136,-0.040961401,0.189354761
0.604836328,-0.009070532,0.156639917
0.783318384,0.021065576,0.113396509
0.946282251,0.059792383,0.086602075
1.10128103,0.056435449,0.023735864
1.241814478,0.027169092,-0.040518896
1.314766748,0.014351709,-0.082724707
1.355934961,-0.003089087,-0.096640723
1.350426538,-0.006507056,-0.094306128
1.289406641,0.016716821,-0.077994482
1.188073022,0.046151025,-0.035971777
1.074089868,0.044762476,0.027153833
0.908104761,0.050301416,0.098275049
0.683174951,0.049385889,0.187035425
0.445610864,0.04735647,0.262154443
0.17638479,0.037957056,0.319558008
-0.075369971,0.002800806,0.379494531
-0.287299292,-0.027503149,0.404015405
-0.449027197,-0.082846777,0.397194727
-0.567664282,-0.15123667,0.365029199
-0.671515601,-0.191001074,0.355980737
-0.764304297,-0.22759165,0.344597681
-0.839392798,-0.277442114,0.316048486
-0.925696509,-0.299033301,0.297112329
-1.001334326,-0.349036353,0.288857324
-1.070746558,-0.381400244,0.272423608
-1.153571265,-0.397101538,0.279976709
-1.227057593,-0.368048804,0.271996362
-1.297873633,-0.347190039,0.247444971
-1.345984595,-0.375159399,0.241875513
-1.374930518,-0.351554053,0.227089746
-1.385840552,-0.3542396,0.186318262
-1.369132178,-0.303107397,0.131386621
-1.367438452,-0.281943457,0.091484888
-1.408454077,-0.331915991,0.143441064
-1.442725317,-0.382880347,0.194222314
-1.478888647,-0.384070532,0.234185083
-1.513693945,-0.38333811,0.25211416
-1.510535376,-0.356177466,0.234627588
-1.504416602,-0.272727148,0.200264795
-1.487006323,-0.244849341,0.195931299
-1.47255625,-0.271674292,0.231789453
-1.444296973,-0.352881567,0.282219751
-1.420615332,-0.422019141,0.335747583
-1.419577734,-0.410819189,0.364937646
-1.429572241,-0.358435767,0.348275049
-1.437323706,-0.294318335,0.301293237
-1.417166846,-0.256690161,0.209603174
-1.410727637,-0.293845313,0.169899805
-1.411734717,-0.358908789,0.19138418
-1.414984839,-0.370917456,0.205193384
-1.442557471,-0.371787207,0.209175928
-1.493445532,-0.353263037,0.22754751
-1.541571753,-0.350119727,0.224037988
-1.600134985,-0.374671118,0.206566675
-1.660040991,-0.405219214,0.192589624
-1.706915991,-0.453742163,0.182122095
-1.761878149,-0.465460913,0.172127588
-1.804404395,-0.444724219,0.150688989
-1.82639231,-0.438742773,0.124703271
-1.835806982,-0.438574927,0.095192773
-1.840399878,-0.442084448,0.051049097
-1.846488135,-0.432959692,0.015190942
-1.834860938,-0.439719336,-0.010657446
-1.824896948,-0.434744971,-0.016471045
-1.80786814,-0.417517798,-0.000418799
