Gryoscope_X,Gryoscope_Y,Gryoscope_Z
-0.484749513,-1.262568014,-0.323165404
-0.382909434,-1.161808627,-0.362034248
-0.277092712,-1.082816379,-0.437795328
-0.15375747,-1.042674796,-0.52584316
-0.008548349,-1.044802205,-0.596225696
0.138441904,-1.08127393,-0.595152156
0.29544483,-1.117350714,-0.528323607
0.472512288,-1.171515958,-0.422456847
0.680142982,-1.241144197,-0.286740826
0.911578877,-1.292579429,-0.148647668
1.141100748,-1.280519621,-0.02978706
1.355579717,-1.238569276,0.038446324
1.534673078,-1.18497421,0.051781302
1.687314255,-1.121133702,0.0308169
1.818074091,-1.073195712,-0.008345683
1.931054456,-1.026120322,-0.04311618
2.02160631,-0.935583012,-0.070651399
2.088214023,-0.824064987,-0.055374445
2.141426666,-0.714692669,-0.015789484
2.162729604,-0.630508559,0.040993905
2.147547824,-0.548463242,0.111417471
2.097339971,-0.468640851,0.183208836
2.023239715,-0.422261374,0.227420775
1.915603144,-0.393203871,0.254825218
1.760373814,-0.382379995,0.271492614
1.551304562,-0.414440738,0.273104889
1.307250006,-0.472946929,0.25372587
1.047969205,-0.497820036,0.213282047
0.786568506,-0.456681924,0.166115074
0.561017377,-0.372376637,0.093668563
0.397327257,-0.252150612,0.002546912
0.305258854,-0.113469438,-0.065145047
0.296180142,-0.005267069,-0.089658918
0.347938134,0.050668901,-0.070425564
0.347938134,0.050668901,-0.070425564
0.439684017,-0.029854437,0.030580411
0.419088466,-0.067841502,0.100442579
0.419088466,-0.067841502,0.100442579
0.190930678,-0.119123863,0.170611812
0.190930678,-0.119123863,0.170611812
-0.125256063,-0.090384627,0.121730564
-0.125256063,-0.090384627,0.121730564
-0.210799189,-0.095894443,0.07007136
-0.252415882,-0.090045342,0.01915545
-0.280114339,-0.063972192,-0.009886321
-0.312015282,-0.011333483,-0.012109262
-0.37017818,0.032209201,0.004923251
-0.457375692,0.018447049,0.049254762
-0.575422423,-0.046644868,0.126843302
-0.728003161,-0.155825155,0.248542039
-0.891612368,-0.276246117,0.385804279
-1.040186422,-0.367069738,0.512200279
-1.152552383,-0.431173907,0.584108336
-1.260034101,-0.474951224,0.618815942
-1.370142119,-0.52078207,0.628178818
-1.476329582,-0.551028685,0.606429083
