class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
,0.359024048,-0.641067505,-0.064956665,-1.368597984,0.08058539,1.190149069
,0.377868652,-0.649917603,-0.094223022,-1.429906607,0.131872013,1.437978029
,0.36807251,-0.633560181,-0.109924316,-1.506414652,0.184086755,1.678886056
,0.345672607,-0.625930786,-0.171783447,-1.682648778,0.265781879,1.919306397
,0.3487854,-0.683181763,-0.315795898,-2.023700476,0.272787064,2.141040325
,0.31086731,-0.769088745,-0.423706055,-2.351409674,0.297477484,2.372411728
,0.246871948,-0.819992065,-0.522277832,-2.567348719,0.405142695,2.547748804
,0.184188843,-0.885574341,-0.62286377,-2.616180897,0.650357544,2.645851374
,0.137649536,-0.963394165,-0.693557739,-2.419103146,0.987393618,2.672597885
,0.099624634,-1.009613037,-0.789535522,-2.061286211,1.277443051,2.635154247
,0.05317688,-1.046234131,-0.884536743,-1.636201978,1.487283587,2.566474199
,-0.012832642,-1.067932129,-0.954803467,-1.211920977,1.566220999,2.521283388
,-0.116622925,-1.096359253,-1.005203247,-0.863500416,1.581099272,2.528947592
,-0.225860596,-1.122329712,-1.036712646,-0.674419999,1.656264067,2.555142641
,-0.309143066,-1.138839722,-1.063018799,-0.618316472,1.769838572,2.534279585
,-0.385360718,-1.166641235,-1.101638794,-0.646007001,1.868850946,2.45990324
,-0.459289551,-1.182662964,-1.13104248,-0.605416656,1.88813436,2.357036591
,-0.535003662,-1.185211182,-1.140029907,-0.423792809,1.862924576,2.2291646
,-0.611312866,-1.160919189,-1.154525757,-0.104816429,1.748901844,2.083557367
,-0.717910767,-1.126525879,-1.140762329,0.320639521,1.596856952,1.979270339
,-0.831420898,-1.104324341,-1.103683472,0.74731946,1.47035861,1.922506452
,-0.914886475,-1.101654053,-1.05430603,1.09228909,1.368154764,1.869228601
,-0.98890686,-1.09475708,-0.990203857,1.31443274,1.301343322,1.780714393
,-1.085144043,-1.066619873,-0.915420532,1.455587387,1.222995996,1.693953395
,-1.193572998,-1.052719116,-0.806610107,1.609308839,1.154312849,1.607030272
,-1.293823242,-1.024673462,-0.697677612,1.750777841,1.135038972,1.471604705
,-1.361190796,-0.96723938,-0.601394653,1.834544659,1.132048726,1.25101459
