class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
,-0.693344116,-1.005020142,-0.967285156,1.183566332,1.37187314,1.809660077
,-0.723312378,-0.955856323,-0.886672974,1.349380612,1.41677165,1.727663636
,-0.750534058,-0.911972046,-0.802810669,1.486825228,1.336649895,1.639775157
,-0.777252197,-0.856735229,-0.733169556,1.592292547,1.140796781,1.541830182
,-0.811935425,-0.825363159,-0.616958618,1.724756837,0.961403012,1.469431043
,-0.845718384,-0.802124023,-0.495285034,1.841507912,0.84876436,1.409907818
,-0.856307983,-0.759353638,-0.399780273,1.890400171,0.750103295,1.325692773
,-0.879989624,-0.744918823,-0.264587402,1.922336817,0.712150812,1.248109341
,-0.913803101,-0.7394104,-0.157501221,1.858217716,0.731131732,1.164215565
,-0.910705566,-0.70513916,-0.063995361,1.721135736,0.748127222,1.019376516
,-0.901245117,-0.645904541,0.025085449,1.577165008,0.646454096,0.865657032
,-0.916519165,-0.59197998,0.097122192,1.462504745,0.426485002,0.781374633
,-0.929275513,-0.537384033,0.140853882,1.345783472,0.143727079,0.760748982
,-0.930526733,-0.50579834,0.17350769,1.177185059,-0.089072615,0.749786615
,-0.944000244,-0.474945068,0.206359863,0.977447212,-0.212197214,0.736456692
,-0.958404541,-0.446182251,0.224060059,0.743521273,-0.205392838,0.69563365
,-0.953857422,-0.417068481,0.246063232,0.523072004,-0.112016015,0.614658892
,-0.942321777,-0.402984619,0.262207031,0.349707127,-0.016785372,0.516804755
,-0.937713623,-0.375732422,0.274841309,0.233730197,0.024977256,0.451616466
,-0.921157837,-0.347381592,0.285354614,0.161215261,0.012148276,0.416050732
,-0.878158569,-0.327026367,0.289581299,0.102420114,-0.096755035,0.38226667
,-0.827087402,-0.309417725,0.290618896,0.029109949,-0.268491656,0.358770669
,-0.761398315,-0.283096313,0.266296387,-0.108695857,-0.505535901,0.337018758
,-0.691726685,-0.276870728,0.232070923,-0.281475097,-0.756774247,0.357893169
,-0.622421265,-0.313659668,0.182891846,-0.482977301,-0.950360477,0.427036822
,-0.551452637,-0.357376099,0.151657104,-0.669955194,-0.977348149,0.508572161
,-0.509750366,-0.390060425,0.128372192,-0.839568436,-0.842023075,0.631486356
,-0.473556519,-0.412734985,0.106460571,-0.993488252,-0.589614511,0.772648275
,-0.425491333,-0.440994263,0.090301514,-1.115122557,-0.356670767,0.925516665
,-0.393325806,-0.530563354,0.046356201,-1.277289033,-0.20344393,1.129921675
,-0.391891479,-0.636947632,-0.035705566,-1.527244806,-0.135070741,1.398807526
,-0.40007019,-0.781890869,-0.131790161,-1.835096717,-0.112391256,1.6824435
,-0.436416626,-0.877990723,-0.218780518,-2.104565382,-0.13630724,1.875750661
,-0.498321533,-0.876358032,-0.315002441,-2.279515505,-0.260259002,1.919936419
,-0.573669434,-0.830337524,-0.414962769,-2.322507858,-0.524971902,1.822285771
,-0.63873291,-0.817947388,-0.498580933,-2.19424963,-0.856980741,1.639944792
,-0.712585449,-0.852828979,-0.574310303,-1.93809545,-1.15548861,1.443977594
,-0.773788452,-0.927307129,-0.622314453,-1.596181273,-1.289260983,1.243983626
,-0.8462677,-1.032730103,-0.655700684,-1.223997831,-1.267634869,1.116485
,-0.919494629,-1.117752075,-0.666473389,-0.878220499,-1.125222087,1.079475641
,-0.985458374,-1.158035278,-0.680175781,-0.64644587,-0.96181953,1.117225051
,-1.079498291,-1.163314819,-0.714202881,-0.584479451,-0.815622926,1.217665672
,-1.181411743,-1.128372192,-0.768081665,-0.672730446,-0.765063882,1.302345634
,-1.311965942,-1.103408813,-0.843978882,-0.802479684,-0.796813011,1.345473409
,-1.46156311,-1.164611816,-0.923492432,-0.840139449,-0.836348712,1.311641932
